scenario_id,family,n_nodes,period_length_rule,drive_value,size_bin_left,size_bin_right,event_count,mean_size,mean_duration,median_duration,p95_duration
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,9.0,12.0,495,10.143434343434343,1.905050505050505,2.0,3.0
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,12.0,16.0,1218,13.686371100164203,2.4482758620689653,2.0,4.0
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,16.0,22.0,2292,18.229057591623036,3.1265270506108203,3.0,5.0
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,22.0,30.0,301,22.976744186046513,4.01328903654485,4.0,6.0
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,1.0,2.0,22,1.0,1.0,1.0,1.0
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,2.0,3.0,33,2.0,1.0303030303030303,1.0,1.0
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,3.0,4.0,46,3.0,1.1521739130434783,1.0,2.0
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,4.0,5.0,64,4.0,1.21875,1.0,2.0
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,5.0,7.0,129,5.503875968992248,1.372093023255814,1.0,2.0
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,7.0,9.0,135,7.496296296296296,1.6888888888888889,2.0,3.0
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,9.0,13.0,381,10.645669291338583,1.8976377952755905,2.0,3.0
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,13.0,17.0,922,14.795010845986985,2.5390455531453364,2.0,4.0
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,17.0,24.0,2957,19.860331416976667,3.3598241460940144,3.0,5.0
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,24.0,33.0,306,24.937908496732025,4.088235294117647,4.0,7.0
