scenario_id,family,n_nodes,period_length_rule,drive_value,runs,time_window,period_count,event_count,avalanche_period_occupancy,mean_event_size,large_event_rate,mean_duration_generations,mean_weighted_branching,mean_credit_before,mean_credit_after
fixed_k_transition__N-200__fixed-K-22,fixed_k_transition,200,fixed,22.0,20,post_Q1_burn_in,3600,3595,0.9986111111111111,8.629207232267037,0.0016689847009735744,1.6831710709318497,0.11966571468455317,974.739916550765,952.726842837274
fixed_k_transition__N-200__fixed-K-24,fixed_k_transition,200,fixed,24.0,20,Q1,1200,1023,0.8525,3.2062561094819158,0.0,1.284457478005865,0.0960338266056741,586.1534701857282,574.8768328445748
fixed_k_transition__N-200__fixed-K-24,fixed_k_transition,200,fixed,24.0,20,Q2,1200,1198,0.9983333333333333,7.275459098497496,0.0,1.5667779632721202,0.10899137960907578,975.0292153589315,953.373121869783
fixed_k_transition__N-200__fixed-K-24,fixed_k_transition,200,fixed,24.0,20,Q3,1200,1200,1.0,10.293333333333333,0.0016666666666666668,1.8041666666666667,0.12565868322853616,1016.3275,991.5225
fixed_k_transition__N-200__fixed-K-24,fixed_k_transition,200,fixed,24.0,20,Q4,1200,1200,1.0,12.918333333333333,0.018333333333333333,2.0233333333333334,0.14558290619775172,930.8016666666666,904.6241666666666
fixed_k_transition__N-200__fixed-K-24,fixed_k_transition,200,fixed,24.0,20,post_Q1_burn_in,3600,3598,0.9994444444444445,10.163979988882712,0.006670372429127293,1.7982212340188994,0.126754191240472,974.0522512506948,949.8379655364091
fixed_k_transition__N-200__fixed-K-26,fixed_k_transition,200,fixed,26.0,20,Q1,1200,1083,0.9025,3.8337950138504153,0.0,1.2917820867959373,0.0858134837359214,579.6731301939058,566.561403508772
fixed_k_transition__N-200__fixed-K-26,fixed_k_transition,200,fixed,26.0,20,Q2,1200,1198,0.9983333333333333,8.43322203672788,0.00333889816360601,1.6535893155258765,0.11442104354010549,955.939899833055,931.5550918196996
fixed_k_transition__N-200__fixed-K-26,fixed_k_transition,200,fixed,26.0,20,Q3,1200,1200,1.0,12.324166666666667,0.02,1.9258333333333333,0.13993956932039106,917.4075,889.385
fixed_k_transition__N-200__fixed-K-26,fixed_k_transition,200,fixed,26.0,20,Q4,1200,1200,1.0,15.2775,0.09583333333333334,2.2316666666666665,0.18035178632638751,782.1433333333333,753.9591666666666
fixed_k_transition__N-200__fixed-K-26,fixed_k_transition,200,fixed,26.0,20,post_Q1_burn_in,3600,3598,0.9994444444444445,12.013618677042802,0.039744302390216785,1.9371873262923847,0.14492107752561997,885.1242356864925,858.2590327959978
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,20,Q1,1200,1084,0.9033333333333333,4.3118081180811805,0.0,1.3256457564575646,0.09241992120220902,620.1881918819188,605.3044280442805
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,20,Q2,1200,1199,0.9991666666666666,9.587989991659716,0.003336113427856547,1.738949124270225,0.1229355405344426,968.277731442869,941.8974145120934
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,20,Q3,1200,1200,1.0,13.936666666666667,0.06416666666666666,2.0508333333333333,0.1491707907171125,921.8991666666667,891.4808333333333
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,20,Q4,1200,1200,1.0,17.08416666666667,0.25416666666666665,2.3475,0.1890358190489483,748.4241666666667,716.8641666666666
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,20,post_Q1_burn_in,3600,3599,0.9997222222222222,13.537371492081133,0.1072520144484579,2.0458460683523203,0.15372260206170316,879.5090302861906,850.0552931369825
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,20,Q1,1200,1002,0.835,2.407185628742515,0.0,1.186626746506986,0.08652813420777493,546.4580838323353,537.7984031936128
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,20,Q2,1200,1175,0.9791666666666666,4.047659574468085,0.0,1.3217021276595744,0.09493835006600963,884.1982978723404,870.6102127659575
