family,scenario_id,scenario_index,run_index,seed,n_nodes,money_distribution,control_name,control_value,time_bin,period_count,event_count,avalanche_occupancy,one_period_wait_fraction,size_lag1_correlation,mean_event_size,median_event_size,p90_event_size,p99_event_size,max_event_size,large_event_count,large_event_rate,mean_initial_default_count,mean_propagated_default_count,propagated_default_share,single_initial_default_fraction,mean_active_credit,mean_final_net_worth_gini,mean_period_length_steps,mean_issued_credit,mean_total_income,first_active_credit,last_active_credit,first_gini,last_gini,unique_default_nodes_in_window,total_default_occurrences_in_window,repeated_default_occurrences_in_window,repeated_default_share_in_window
income,income__N200__c0p80__pareto__biased__random,5,2,2026950002,200,pareto,c,0.8,5,120,120,1.0,1.0,0.025641367319716994,65.14166666666667,65.0,71.10000000000001,75.0,80,120,1.0,13.158333333333333,51.983333333333334,0.798004349494691,0.0,7.166666666666667,0.9949357612860237,93.90833333333333,93.90833333333333,117.33333333333333,15,3,0.9949075462268866,0.9949625187406297,199,7817,7618,0.9745426634258667
income,income__N200__c0p80__pareto__biased__random,5,2,2026950002,200,pareto,c,0.8,6,120,120,1.0,1.0,-0.2151835767315776,64.6,65.0,71.0,75.0,76,120,1.0,12.975,51.625,0.7991486068111455,0.0,7.133333333333334,0.994933845577212,93.93333333333334,93.93333333333334,117.41666666666667,9,19,0.9949850074962521,0.9949100449775115,199,7752,7553,0.974329205366357
income,income__N200__c0p80__pareto__biased__random,5,2,2026950002,200,pareto,c,0.8,7,120,120,1.0,1.0,-0.10623199309713115,65.69166666666666,66.0,73.0,77.0,82,120,1.0,13.158333333333333,52.53333333333333,0.7996955473804389,0.0,7.275,0.994930326503415,94.09166666666667,94.09166666666667,117.64166666666667,5,15,0.9949625187406297,0.9949625187406297,199,7883,7684,0.9747558036280604
income,income__N200__c0p80__pareto__biased__random,5,2,2026950002,200,pareto,c,0.8,8,120,120,1.0,1.0,-0.25976962448828483,64.85833333333333,65.0,73.0,78.62,82,120,1.0,13.075,51.78333333333333,0.798406784016446,0.0,9.833333333333334,0.9949212893553226,93.95,93.95,117.41666666666667,6,6,0.9949100449775115,0.9949475262368817,199,7783,7584,0.9744314531671592
income,income__N200__c0p80__pareto__biased__random,5,2,2026950002,200,pareto,c,0.8,9,120,120,1.0,1.0,-0.2069777006251857,65.36666666666666,65.5,73.0,80.05000000000001,81,120,1.0,12.583333333333334,52.78333333333333,0.8074961754207037,0.0,6.625,0.9949467349658503,93.50833333333334,93.50833333333334,116.81666666666666,10,0,0.9949075462268866,0.9949750124937533,199,7844,7645,0.9746302906680265
income,income__N200__c0p80__pareto__biased__random,5,2,2026950002,200,pareto,c,0.8,10,120,120,1.0,1.0,-0.10094071393270224,64.91666666666667,64.0,74.10000000000001,81.62,84,120,1.0,12.95,51.96666666666667,0.8005134788189987,0.0,7.783333333333333,0.9949259120439783,93.74166666666666,93.74166666666666,117.14166666666667,0,4,0.994992503748126,0.9949725137431285,199,7790,7591,0.9744544287548139
income,income__N200__c0p80__pareto__biased__random,5,3,2026950003,200,pareto,c,0.8,1,120,119,0.9916666666666667,1.0,0.5348237756199854,75.08403361344538,75.0,85.0,91.63999999999999,96,118,0.9915966386554622,36.109243697478995,38.97478991596638,0.519082260772244,0.0,382.1166666666667,0.940994,188.25833333333333,188.25833333333333,228.24166666666667,800,194,0.41012000000000004,0.9805700000000002,191,8935,8744,0.9786233911583659
income,income__N200__c0p80__pareto__biased__random,5,3,2026950003,200,pareto,c,0.8,2,120,120,1.0,1.0,-0.20929609123845702,71.39166666666667,71.0,78.10000000000001,83.0,84,120,1.0,24.016666666666666,47.375,0.663592856309093,0.0,104.69166666666666,0.9858575416666664,110.44166666666666,110.44166666666666,137.95,187,70,0.9806225000000002,0.9888700000000001,196,8567,8371,0.9771215127816039
income,income__N200__c0p80__pareto__biased__random,5,3,2026950003,200,pareto,c,0.8,3,120,120,1.0,1.0,-0.10840864498548777,69.48333333333333,69.0,77.0,82.0,85,120,1.0,20.183333333333334,49.3,0.7095226673063084,0.0,60.041666666666664,0.9911224999999998,104.025,104.025,129.95,74,63,0.9889975000000002,0.9930000000000001,197,8338,8141,0.9763732309906452
income,income__N200__c0p80__pareto__biased__random,5,3,2026950003,200,pareto,c,0.8,4,120,120,1.0,1.0,-0.08424032752895604,67.54166666666667,67.0,75.20000000000002,80.81,82,120,1.0,16.75,50.791666666666664,0.7520049352251696,0.0,32.71666666666667,0.9943232083333334,98.79166666666667,98.79166666666667,123.35833333333333,61,1,0.99312,0.994985,199,8105,7906,0.9754472547809994
income,income__N200__c0p80__pareto__biased__random,5,3,2026950003,200,pareto,c,0.8,5,120,120,1.0,1.0,-0.22637613961407463,65.00833333333334,65.0,73.10000000000001,79.62,81,120,1.0,12.916666666666666,52.09166666666667,0.8013075246763236,0.0,7.625,0.9949268124999995,93.74166666666666,93.74166666666666,117.19166666666666,0,4,0.9949725,0.9949750000000002,199,7801,7602,0.974490449942315
income,income__N200__c0p80__pareto__biased__random,5,3,2026950003,200,pareto,c,0.8,6,120,120,1.0,1.0,-0.19436571869389027,65.19166666666666,65.0,72.10000000000001,81.43,83,120,1.0,12.9,52.291666666666664,0.8021219481017512,0.0,7.133333333333334,0.9949367291666659,93.66666666666667,93.66666666666667,117.01666666666667,8,17,0.9948875000000001,0.9948875000000001,199,7823,7624,0.9745621884187652
income,income__N200__c0p80__pareto__biased__random,5,3,2026950003,200,pareto,c,0.8,7,120,120,1.0,1.0,-0.20444227936276888,65.36666666666666,65.0,72.0,76.81,81,120,1.0,12.9,52.46666666666667,0.8026517083120857,0.0,8.883333333333333,0.9949231666666665,93.89166666666667,93.89166666666667,117.35,3,8,0.9949625000000002,0.9949625000000002,199,7844,7645,0.9746302906680265
income,income__N200__c0p80__pareto__biased__random,5,3,2026950003,200,pareto,c,0.8,8,120,120,1.0,1.0,-0.1517762147321409,64.8,65.5,72.0,78.05000000000001,81,120,1.0,13.208333333333334,51.59166666666667,0.7961676954732511,0.0,7.966666666666667,0.9949222291666665,93.95833333333333,93.95833333333333,117.46666666666667,1,15,0.9949475000000001,0.9949625000000002,199,7776,7577,0.9744084362139918
income,income__N200__c0p80__pareto__biased__random,5,3,2026950003,200,pareto,c,0.8,9,120,120,1.0,1.0,-0.030695887615977597,65.68333333333334,66.0,72.0,75.81,79,120,1.0,12.616666666666667,53.06666666666667,0.8079167723927937,0.0,6.666666666666667,0.9949438333333329,93.525,93.525,116.85833333333333,13,0,0.9949300000000001,0.9949750000000002,199,7882,7683,0.9747526008627252
income,income__N200__c0p80__pareto__biased__random,5,3,2026950003,200,pareto,c,0.8,10,120,120,1.0,1.0,-0.15199093204647274,65.06666666666666,66.0,73.0,77.81,79,120,1.0,13.1,51.96666666666667,0.7986680327868853,0.0,7.208333333333333,0.9949383124999993,93.69166666666666,93.69166666666666,117.10833333333333,0,10,0.9949975000000002,0.9948600000000001,199,7808,7609,0.9745133196721312
income,income__N200__c0p80__pareto__biased__random,5,4,2026950004,200,pareto,c,0.8,1,120,119,0.9916666666666667,1.0,0.5595138167997091,72.50420168067227,72.0,83.0,90.82,93,118,0.9915966386554622,30.092436974789916,42.411764705882355,0.5849559573481687,0.0,211.03333333333333,0.965644109805882,172.81666666666666,172.81666666666666,208.775,800,32,0.43431017245688586,0.9946875781054738,196,8628,8432,0.9772832637923041
income,income__N200__c0p80__pareto__biased__random,5,4,2026950004,200,pareto,c,0.8,2,120,120,1.0,1.0,-0.18604183208524036,65.375,65.5,73.0,77.43,78,120,1.0,13.125,52.25,0.7992351816443595,0.0,8.291666666666666,0.9949286636674164,93.975,93.975,117.35,39,0,0.9947225693576607,0.9949100224943765,199,7845,7646,0.9746335245379223
income,income__N200__c0p80__pareto__biased__random,5,4,2026950004,200,pareto,c,0.8,3,120,120,1.0,1.0,-0.26243614943818044,65.06666666666666,64.0,73.0,77.0,82,120,1.0,12.891666666666667,52.175,0.8018698770491803,0.0,5.933333333333334,0.9949387028242939,93.675,93.675,117.13333333333334,1,3,0.9949625093726568,0.9948875281179705,199,7808,7609,0.9745133196721312
income,income__N200__c0p80__pareto__biased__random,5,4,2026950004,200,pareto,c,0.8,4,120,120,1.0,1.0,-0.06361430947859092,65.85833333333333,66.0,72.10000000000001,78.43,81,120,1.0,13.008333333333333,52.85,0.8024800708591674,0.0,7.933333333333334,0.9949314962925931,93.8,93.8,117.20833333333333,2,13,0.9949475131217196,0.9949100224943765,199,7903,7704,0.9748196887258004
income,income__N200__c0p80__pareto__biased__random,5,4,2026950004,200,pareto,c,0.8,5,120,120,1.0,1.0,-0.26916564886267497,65.45,65.0,74.0,79.81,83,120,1.0,13.033333333333333,52.416666666666664,0.8008658008658008,0.0,7.1,0.9949291427143208,93.55,93.55,117.01666666666667,5,6,0.9949475131217196,0.9949850037490628,199,7854,7655,0.9746625923096511
income,income__N200__c0p80__pareto__biased__random,5,4,2026950004,200,pareto,c,0.8,6,120,120,1.0,1.0,-0.04967624530071796,64.225,65.0,72.0,77.0,79,120,1.0,12.741666666666667,51.483333333333334,0.8016089269495265,0.0,6.975,0.9949364950429058,93.45,93.45,116.75,13,10,0.9949625093726568,0.9948350412396902,199,7707,7508,0.9741793175035682
income,income__N200__c0p80__pareto__biased__random,5,4,2026950004,200,pareto,c,0.8,7,120,120,1.0,1.0,-0.08722715432290518,64.85,65.0,73.0,76.81,78,120,1.0,12.8,52.05,0.8026214340786431,0.0,7.775,0.9949276639173537,93.76666666666667,93.76666666666667,117.23333333333333,15,4,0.9948350412396902,0.9949750062484379,199,7782,7583,0.9744281675661783
income,income__N200__c0p80__pareto__biased__random,5,4,2026950004,200,pareto,c,0.8,8,120,120,1.0,1.0,-0.043269602396141645,65.075,65.0,72.10000000000001,77.62,80,120,1.0,13.075,52.0,0.7990779869381482,0.0,7.633333333333334,0.9949396400899768,93.7,93.7,117.16666666666667,2,12,0.9949300174956262,0.9949300174956262,199,7809,7610,0.9745165834293764
