family,scenario_id,scenario_index,n_nodes,money_distribution,control_name,control_value,window,runs,period_count,event_count,runs_with_events,avalanche_occupancy,one_period_wait_fraction,pooled_size_lag1_correlation,mean_event_size,median_event_size,p90_event_size,p95_event_size,p99_event_size,max_event_size,large_event_count,large_event_rate,mean_initial_default_count,mean_propagated_default_count,propagated_default_share,single_initial_default_fraction,mean_active_credit,mean_final_net_worth_gini,mean_period_length_steps,mean_issued_credit,unique_default_nodes_within_runs,total_default_occurrences_within_runs,repeated_default_occurrences_within_runs,repeated_default_share
fixed,fixed__N200__K18__lognormal__biased__random,30,200,lognormal,fixed_k,18.0,early,12,4800,4597,12,0.9577083333333334,0.9705561613958561,0.6459787849309062,7.224276702197085,7.0,12.0,14.0,16.0,24,1,0.00021753317380900588,6.324994561670655,0.8992821405264303,0.12448057813911473,0.07287361322601697,840.911875,0.7795049876399662,18.0,18.0,1897,33210,31313,0.9428786510087324
fixed,fixed__N200__K18__lognormal__biased__random,30,200,lognormal,fixed_k,18.0,late,12,4800,4800,12,1.0,1.0,-0.19269586995745194,16.405416666666667,17.0,19.0,20.0,22.0,29,410,0.08541666666666667,8.33875,8.066666666666666,0.49170751530236456,0.00020833333333333335,45.48166666666667,0.9905543731313257,18.0,18.0,2372,78746,76374,0.9698778350646382
fixed,fixed__N200__K18__pareto__biased__random,31,200,pareto,fixed_k,18.0,early,12,4800,3702,12,0.77125,0.9303523035230352,0.699433384842701,5.8741220961642355,5.0,11.0,13.0,17.0,23,4,0.0010804970286331713,5.083198271204754,0.7909238249594813,0.13464545203715625,0.13830361966504592,1255.7027083333332,0.6912210905068815,18.0,18.0,1746,21746,20000,0.919709371838499
fixed,fixed__N200__K18__pareto__biased__random,31,200,pareto,fixed_k,18.0,late,12,4800,4800,12,1.0,1.0,-0.18813712477309702,16.375416666666666,17.0,19.0,20.0,23.0,27,416,0.08666666666666667,8.272083333333333,8.103333333333333,0.49484745935217933,0.0,56.55416666666667,0.9912173185819916,18.0,18.0,2373,78602,76229,0.969809928500547
fixed,fixed__N200__K20__lognormal__biased__random,32,200,lognormal,fixed_k,20.0,early,12,4800,4638,12,0.96625,0.9801124081279723,0.7156791921686695,9.165157395429064,9.0,15.0,16.0,19.0,24,25,0.005390254420008625,7.860931435963778,1.3042259594652867,0.14230262538816224,0.04915912031047866,732.02625,0.8074954428731997,20.0,20.0,2011,42508,40497,0.9526912581161193
fixed,fixed__N200__K20__lognormal__biased__random,32,200,lognormal,fixed_k,20.0,late,12,4800,4800,12,1.0,1.0,-0.23698420054382385,18.178333333333335,18.0,21.0,23.0,25.0,32,1488,0.31,7.913125,10.265208333333334,0.5646946914825342,0.0,25.766666666666666,0.9941550940273994,20.0,20.0,2381,87256,84875,0.9727124782249931
fixed,fixed__N200__K20__pareto__biased__random,33,200,pareto,fixed_k,20.0,early,12,4800,3842,12,0.8004166666666667,0.9389033942558747,0.6995400681853663,6.950806871421134,7.0,13.0,14.0,18.0,24,11,0.0028630921395106715,6.033055700156169,0.9177511712649662,0.13203519940086125,0.11582509109838626,1260.5754166666666,0.699687690539865,20.0,20.0,1827,26705,24878,0.9315858453473133
fixed,fixed__N200__K20__pareto__biased__random,33,200,pareto,fixed_k,20.0,late,12,4800,4800,12,1.0,1.0,-0.22068043869568194,18.137708333333332,18.0,21.0,22.0,25.0,29,1470,0.30625,8.191458333333333,9.94625,0.5483741284846257,0.0,39.050625,0.9923639769033947,20.0,20.0,2376,87061,84685,0.9727087903883485
fixed,fixed__N200__K22__lognormal__biased__random,34,200,lognormal,fixed_k,22.0,early,12,4800,4678,12,0.9745833333333334,0.9832833261894557,0.7598747242070575,10.703505771697307,11.0,17.0,19.0,21.0,28,167,0.03569901667379222,8.965369816160752,1.738135955536554,0.16238940704200036,0.0404018811457888,699.069375,0.822673249435046,22.0,22.0,2082,50071,47989,0.9584190449561623
fixed,fixed__N200__K22__lognormal__biased__random,34,200,lognormal,fixed_k,22.0,late,12,4800,4800,12,1.0,1.0,-0.2311901762150101,19.83625,20.0,23.0,24.0,27.0,32,2731,0.5689583333333333,8.405,11.43125,0.5762807990421577,0.0,30.452916666666667,0.9931343752341955,22.0,22.0,2379,95214,92835,0.9750141785871825
fixed,fixed__N200__K22__pareto__biased__random,35,200,pareto,fixed_k,22.0,early,12,4800,3973,12,0.8277083333333334,0.953294622570058,0.7633635520538354,8.737477976340298,9.0,16.0,17.0,20.0,25,43,0.010823055625471936,7.434684117795117,1.30279385854518,0.14910410785273953,0.0948905109489051,1119.7260416666666,0.7389325590324738,22.0,22.0,1977,34714,32737,0.9430489139828311
fixed,fixed__N200__K22__pareto__biased__random,35,200,pareto,fixed_k,22.0,late,12,4800,4800,12,1.0,1.0,-0.22684883971130101,19.88479166666667,20.0,23.0,24.050000000000182,27.0,32,2810,0.5854166666666667,8.201041666666667,11.68375,0.5875721604660178,0.0,20.764791666666667,0.9934537956581698,22.0,22.0,2382,95447,93065,0.9750437415529037
